id,area,Y,M,O,total
15088_AM,308.202306951249,1815,5462,3790,11067
15089,52.8097487622251,907,2827,1384,5118
15092,187.610791874623,1538,4426,1712,7676
15093,133.152010346886,894,2434,1595,4923
15902,151.56631663130997,728,2755,1865,5348
16023_AM,1449.62381126063,933,2960,1592,5485
16027_AM,916.558607339533,854,2754,1453,5061
16042_AM,1528.0033129158498,911,2681,1387,4979
16066_AM,450.283347202416,1197,3400,2135,6732
1607801_AD,773.847013291944,2298,7352,3169,12819
1607804,147.918019450845,6588,21359,10232,38179
16102_AM,635.239346575114,992,3385,1815,6192
16106_AM,181.988714981405,975,2601,1766,5342
16112_AM,1471.76776621529,906,2784,1710,5400
16113_AM,278.708160479888,1008,3110,1456,5574
16117_AM,1494.61201232284,963,2853,1569,5385
16124_AM,339.570994249118,810,3037,1816,5663
16125_AM,271.125106496658,783,2551,1838,5172
16133,176.407453066899,1458,3390,1598,6446
16134,74.0329510320416,1820,3506,896,6222
16154,224.971026531038,815,4025,2086,6926
16170_AM,1351.61688423229,816,2553,1268,4637
16171_AM,415.242814178863,900,2910,1706,5516
16175,79.9992602719224,1794,4148,2068,8010
16190,277.79105824483696,1414,3808,2734,7956
16191_AM,989.562300427168,1078,3157,1656,5891
16203,106.9931962612,2699,7671,4820,15190
16249_AM,489.617806996973,1203,3687,1497,6387
16251_AM,555.549601349001,824,2966,2223,6013
16903_AM,897.1305617702529,927,2998,1808,5733
16905_AM,1582.2971433715602,1007,2850,1499,5356
17006_AM,388.972515408059,897,2671,1653,5221
17007_AM,287.508684371202,1562,5308,3010,9880
17008,16.3247072538778,1028,2352,2056,5436
17009,86.28817443460379,997,3063,2021,6081
17012_AM,86.586151644828,1156,3268,1716,6140
17013_AM,53.0172976057453,964,4008,2533,7505
17015,10.9968928140952,2264,9928,6589,18781
17016_AM,105.432459296312,937,2957,1374,5268
17019_AM,123.899983198327,952,2558,1402,4912
17020_AM,56.3206916815887,1593,4474,2094,8161
17022,20.7508902615765,1311,5932,3147,10390
17023,17.987903071101698,5591,21475,12926,39992
17032_AM,91.9735777162414,970,3010,1679,5659
17033,57.3414371299071,1621,4363,1695,7679
17034,33.8139329767088,2191,5477,3981,11649
17036_AM,252.674052217952,977,2860,1905,5742
17039_AM,343.31433682593695,808,2870,1956,5634
17044,45.610313469195205,889,3965,4894,9748
17047,42.279856654590006,1942,5876,3486,11304
17048,21.5440184678505,2097,6835,2613,11545
17049_AM,27.457620685925495,2028,3848,677,6553
17056_AM,140.984982310356,1047,3012,1477,5536
17062,16.2638665329851,665,4247,5887,10799
17066,18.9488525681769,6320,26378,12970,45668
17067_AM,107.915909817216,910,2805,1796,5511
1707901,2.84750983512253,1552,4442,1571,7565
1707902,7.42322822692728,6592,18948,6934,32474
1707903,4.28538466098353,7560,21641,7654,36855
1707904_AD,20.500612284235203,1892,5374,1975,9241
1707906,4.01101400492336,1663,4858,2565,9086
17083_AM,138.997360924297,1422,4355,2539,8316
17086_AM,151.327555786412,577,1936,977,3490
17089,76.5443451644828,1178,3949,3181,8308
17092_AM,61.4671913458488,1095,3234,1943,6272
17094,12.8280805388618,219,688,445,1352
17095,48.420926176862906,5335,16774,15407,37516
17103,45.6318727813004,1674,3701,1813,7188
17111_AM,419.281541721186,905,3059,1744,5708
17114,28.9713348071092,6127,18641,10002,34770
17117,26.8832562923118,5735,11820,5860,23415
17118,14.0687164123921,3006,9411,6111,18528
17132_AM,97.7386555750542,1010,3059,1719,5788
17137_AM,137.939624382518,1035,3121,1503,5659
17141,18.765677595931106,1407,3945,3198,8550
17142_AM,50.124358075011905,910,3039,2043,5992
17146_AM,32.1965129599162,1409,3588,2746,7743
